conservation_score_version,region,window_size,imputed,nan_rate,total_rows,nan_rows_number,nan_rate_without_nan_rows
phastCons4way,enhancers,64,True,0.13962234336730664,63285,8836,0.0
phastCons4way,enhancers,64,False,0.15671713281188274,63285,8836,0.019868936986905176
phastCons7way,enhancers,64,True,0.006541834557952121,63285,414,0.0
phastCons7way,enhancers,64,False,0.007188462905901872,63285,414,0.0006508863386935152
phastCons17way,enhancers,64,True,0.001501145611124279,63285,95,0.0
phastCons17way,enhancers,64,False,0.0017240953622501382,63285,95,0.0002232849343250514
phastCons20way,enhancers,64,True,0.0014063364146322196,63285,89,0.0
phastCons20way,enhancers,64,False,0.0016080528561270445,63285,89,0.0002020005221849484
phastCons30way,enhancers,64,True,0.0012799241526428064,63285,81,0.0
phastCons30way,enhancers,64,False,0.0013890534881883542,63285,81,0.00010926919182330232
phastCons100way,enhancers,64,True,0.002133206921071344,63285,135,0.0
phastCons100way,enhancers,64,False,0.0022307320060045823,63285,135,9.773357086302453e-05
phyloP4way,enhancers,64,True,0.13962234336730664,63285,8836,0.0
phyloP4way,enhancers,64,False,0.15671713281188274,63285,8836,0.019868936986905176
phyloP7way,enhancers,64,True,0.006541834557952121,63285,414,0.0
phyloP7way,enhancers,64,False,0.007188462905901872,63285,414,0.0006508863386935152
phyloP17way,enhancers,64,True,0.001501145611124279,63285,95,0.0
phyloP17way,enhancers,64,False,0.0017240953622501382,63285,95,0.0002232849343250514
phyloP20way,enhancers,64,True,0.0014063364146322196,63285,89,0.0
phyloP20way,enhancers,64,False,0.0016080528561270445,63285,89,0.0002020005221849484
phyloP30way,enhancers,64,True,0.0012799241526428064,63285,81,0.0
phyloP30way,enhancers,64,False,0.0013890534881883542,63285,81,0.00010926919182330232
phyloP100way,enhancers,64,True,0.002133206921071344,63285,135,0.0
phyloP100way,enhancers,64,False,0.0022307320060045823,63285,135,9.773357086302453e-05
phastCons4way,enhancers,128,True,0.1279450106660346,63285,8097,0.0
phastCons4way,enhancers,128,False,0.15726031050011852,63285,8097,0.033616343226788435
phastCons7way,enhancers,128,True,0.006146796239235207,63285,389,0.0
phastCons7way,enhancers,128,False,0.0071762414079165684,63285,389,0.0010358120945688119
phastCons17way,enhancers,128,True,0.0013589318163861894,63285,86,0.0
phastCons17way,enhancers,128,False,0.0016998992652287274,63285,86,0.00034143143087707084
phastCons20way,enhancers,128,True,0.0012957256853914831,63285,82,0.0
phastCons20way,enhancers,128,False,0.001596572054989334,63285,82,0.0003012366897140959
phastCons30way,enhancers,128,True,0.0012167180216481,63285,77,0.0
phastCons30way,enhancers,128,False,0.0014231255431776885,63285,77,0.0002066589672193393
phastCons100way,enhancers,128,True,0.0020700007900766376,63285,131,0.0
phastCons100way,enhancers,128,False,0.0022250533301730263,63285,131,0.00015537416474015897
phyloP4way,enhancers,128,True,0.1279450106660346,63285,8097,0.0
phyloP4way,enhancers,128,False,0.15726031050011852,63285,8097,0.033616343226788435
phyloP7way,enhancers,128,True,0.006146796239235207,63285,389,0.0
phyloP7way,enhancers,128,False,0.0071762414079165684,63285,389,0.0010358120945688119
phyloP17way,enhancers,128,True,0.0013589318163861894,63285,86,0.0
phyloP17way,enhancers,128,False,0.0016998992652287274,63285,86,0.00034143143087707084
phyloP20way,enhancers,128,True,0.0012957256853914831,63285,82,0.0
phyloP20way,enhancers,128,False,0.001596572054989334,63285,82,0.0003012366897140959
phyloP30way,enhancers,128,True,0.0012167180216481,63285,77,0.0
phyloP30way,enhancers,128,False,0.0014231255431776885,63285,77,0.0002066589672193393
phyloP100way,enhancers,128,True,0.0020700007900766376,63285,131,0.0
phyloP100way,enhancers,128,False,0.0022250533301730263,63285,131,0.00015537416474015897
phastCons4way,enhancers,256,True,0.10585446788338468,63285,6699,0.0
phastCons4way,enhancers,256,False,0.15920531869716362,63285,6699,0.05966685388170219
phastCons7way,enhancers,256,True,0.0054515287982934355,63285,345,0.0
phastCons7way,enhancers,256,False,0.007231731946748835,63285,345,0.0017899611733396886
phastCons17way,enhancers,256,True,0.00112190882515604,63285,71,0.0
phastCons17way,enhancers,256,False,0.0016953933594058624,63285,71,0.0005741286542538045
phastCons20way,enhancers,256,True,0.0010903057596586866,63285,69,0.0
phastCons20way,enhancers,256,False,0.001598855870269416,63285,69,0.0005091051909326753
phastCons30way,enhancers,256,True,0.001042901161412657,63285,66,0.0
phastCons30way,enhancers,256,False,0.001437754305917674,63285,66,0.0003952653672155523
phastCons100way,enhancers,256,True,0.001975191593584577,63285,125,0.0
phastCons100way,enhancers,256,False,0.0022345589397171524,63285,125,0.0002598806602279924
phyloP4way,enhancers,256,True,0.10585446788338468,63285,6699,0.0
phyloP4way,enhancers,256,False,0.15920531869716362,63285,6699,0.05966685388170219
phyloP7way,enhancers,256,True,0.0054515287982934355,63285,345,0.0
phyloP7way,enhancers,256,False,0.007231731946748835,63285,345,0.0017899611733396886
phyloP17way,enhancers,256,True,0.00112190882515604,63285,71,0.0
phyloP17way,enhancers,256,False,0.0016953933594058624,63285,71,0.0005741286542538045
phyloP20way,enhancers,256,True,0.0010903057596586866,63285,69,0.0
phyloP20way,enhancers,256,False,0.001598855870269416,63285,69,0.0005091051909326753
phyloP30way,enhancers,256,True,0.001042901161412657,63285,66,0.0
phyloP30way,enhancers,256,False,0.001437754305917674,63285,66,0.0003952653672155523
phyloP100way,enhancers,256,True,0.001975191593584577,63285,125,0.0
phyloP100way,enhancers,256,False,0.0022345589397171524,63285,125,0.0002598806602279924
phastCons4way,enhancers,512,True,0.07883384688314768,63285,4989,0.0
phastCons4way,enhancers,512,False,0.1666693516927392,63285,4989,0.09535250998138807
phastCons7way,enhancers,512,True,0.00472465829185431,63285,299,0.0
phastCons7way,enhancers,512,False,0.007459434502646756,63285,299,0.002747758430444861
phastCons17way,enhancers,512,True,0.0010112980959153038,63285,64,0.0
phastCons17way,enhancers,512,False,0.00182374995062021,63285,64,0.0008132743174736242
phastCons20way,enhancers,512,True,0.0010112980959153038,63285,64,0.0
phastCons20way,enhancers,512,False,0.0017182006498380345,63285,64,0.0007076181668274782
phastCons30way,enhancers,512,True,0.0009796950304179503,63285,62,0.0
phastCons30way,enhancers,512,False,0.0015490131449000554,63285,62,0.0005698764195783179
phastCons100way,enhancers,512,True,0.0018013747333491348,63285,114,0.0
phastCons100way,enhancers,512,False,0.002320078563245635,63285,114,0.000519639896075731
phyloP4way,enhancers,512,True,0.07883384688314768,63285,4989,0.0
phyloP4way,enhancers,512,False,0.1666693516927392,63285,4989,0.09535250998138807
phyloP7way,enhancers,512,True,0.00472465829185431,63285,299,0.0
phyloP7way,enhancers,512,False,0.007459434502646756,63285,299,0.002747758430444861
phyloP17way,enhancers,512,True,0.0010112980959153038,63285,64,0.0
phyloP17way,enhancers,512,False,0.00182374995062021,63285,64,0.0008132743174736242
phyloP20way,enhancers,512,True,0.0010112980959153038,63285,64,0.0
phyloP20way,enhancers,512,False,0.0017182006498380345,63285,64,0.0007076181668274782
phyloP30way,enhancers,512,True,0.0009796950304179503,63285,62,0.0
phyloP30way,enhancers,512,False,0.0015490131449000554,63285,62,0.0005698764195783179
phyloP100way,enhancers,512,True,0.0018013747333491348,63285,114,0.0
phyloP100way,enhancers,512,False,0.002320078563245635,63285,114,0.000519639896075731
