,assembly,dataset,conservation_scores,conservation_score_version,region,window_size,imputed,nan_rate,total_rows,nan_rows_number,nan_rate_without_nan_rows
27,hg38,fantom,phastCons,phastCons7way,enhancers,128,False,0.007176241407916568,63285,389,0.001035812094568812
28,hg38,fantom,phastCons,phastCons17way,enhancers,128,True,0.0013589318163861894,63285,86,0.0
29,hg38,fantom,phastCons,phastCons17way,enhancers,128,False,0.0016998992652287272,63285,86,0.00034143143087707084
30,hg38,fantom,phastCons,phastCons20way,enhancers,128,True,0.001295725685391483,63285,82,0.0
31,hg38,fantom,phastCons,phastCons20way,enhancers,128,False,0.001596572054989334,63285,82,0.00030123668971409587
32,hg38,fantom,phastCons,phastCons30way,enhancers,128,True,0.0012167180216480999,63285,77,0.0
33,hg38,fantom,phastCons,phastCons30way,enhancers,128,False,0.0014231255431776883,63285,77,0.00020665896721933931
34,hg38,fantom,phastCons,phastCons100way,enhancers,128,True,0.0020700007900766376,63285,131,0.0
35,hg38,fantom,phastCons,phastCons100way,enhancers,128,False,0.0022250533301730268,63285,131,0.00015537416474015897
36,hg38,fantom,phyloP,phyloP4way,enhancers,128,True,0.12794501066603461,63285,8097,0.0
37,hg38,fantom,phyloP,phyloP4way,enhancers,128,False,0.15726031050011852,63285,8097,0.033616343226788435
38,hg38,fantom,phyloP,phyloP7way,enhancers,128,True,0.006146796239235206,63285,389,0.0
39,hg38,fantom,phyloP,phyloP7way,enhancers,128,False,0.007176241407916568,63285,389,0.001035812094568812
40,hg38,fantom,phyloP,phyloP17way,enhancers,128,True,0.0013589318163861894,63285,86,0.0
41,hg38,fantom,phyloP,phyloP17way,enhancers,128,False,0.0016998992652287272,63285,86,0.00034143143087707084
42,hg38,fantom,phyloP,phyloP20way,enhancers,128,True,0.001295725685391483,63285,82,0.0
43,hg38,fantom,phyloP,phyloP20way,enhancers,128,False,0.001596572054989334,63285,82,0.00030123668971409587
44,hg38,fantom,phyloP,phyloP30way,enhancers,128,True,0.0012167180216480999,63285,77,0.0
45,hg38,fantom,phyloP,phyloP30way,enhancers,128,False,0.0014231255431776883,63285,77,0.00020665896721933931
46,hg38,fantom,phyloP,phyloP100way,enhancers,128,True,0.0020700007900766376,63285,131,0.0
47,hg38,fantom,phyloP,phyloP100way,enhancers,128,False,0.0022250533301730268,63285,131,0.00015537416474015897
48,hg38,fantom,phastCons,phastCons4way,enhancers,256,True,0.10585446788338469,63285,6699,0.0
49,hg38,fantom,phastCons,phastCons4way,enhancers,256,False,0.15920531869716362,63285,6699,0.05966685388170219
50,hg38,fantom,phastCons,phastCons7way,enhancers,256,True,0.005451528798293435,63285,345,0.0
51,hg38,fantom,phastCons,phastCons7way,enhancers,256,False,0.007231731946748835,63285,345,0.0017899611733396886
52,hg38,fantom,phastCons,phastCons17way,enhancers,256,True,0.00112190882515604,63285,71,0.0
53,hg38,fantom,phastCons,phastCons17way,enhancers,256,False,0.0016953933594058624,63285,71,0.0005741286542538045
54,hg38,fantom,phastCons,phastCons20way,enhancers,256,True,0.0010903057596586868,63285,69,0.0
55,hg38,fantom,phastCons,phastCons20way,enhancers,256,False,0.0015988558702694161,63285,69,0.0005091051909326753
56,hg38,fantom,phastCons,phastCons30way,enhancers,256,True,0.001042901161412657,63285,66,0.0
57,hg38,fantom,phastCons,phastCons30way,enhancers,256,False,0.001437754305917674,63285,66,0.0003952653672155523
58,hg38,fantom,phastCons,phastCons100way,enhancers,256,True,0.0019751915935845776,63285,125,0.0
59,hg38,fantom,phastCons,phastCons100way,enhancers,256,False,0.0022345589397171524,63285,125,0.0002598806602279924
60,hg38,fantom,phyloP,phyloP4way,enhancers,256,True,0.10585446788338469,63285,6699,0.0
61,hg38,fantom,phyloP,phyloP4way,enhancers,256,False,0.15920531869716362,63285,6699,0.05966685388170219
62,hg38,fantom,phyloP,phyloP7way,enhancers,256,True,0.005451528798293435,63285,345,0.0
63,hg38,fantom,phyloP,phyloP7way,enhancers,256,False,0.007231731946748835,63285,345,0.0017899611733396886
64,hg38,fantom,phyloP,phyloP17way,enhancers,256,True,0.00112190882515604,63285,71,0.0
65,hg38,fantom,phyloP,phyloP17way,enhancers,256,False,0.0016953933594058624,63285,71,0.0005741286542538045
66,hg38,fantom,phyloP,phyloP20way,enhancers,256,True,0.0010903057596586868,63285,69,0.0
67,hg38,fantom,phyloP,phyloP20way,enhancers,256,False,0.0015988558702694161,63285,69,0.0005091051909326753
68,hg38,fantom,phyloP,phyloP30way,enhancers,256,True,0.001042901161412657,63285,66,0.0
69,hg38,fantom,phyloP,phyloP30way,enhancers,256,False,0.001437754305917674,63285,66,0.0003952653672155523
70,hg38,fantom,phyloP,phyloP100way,enhancers,256,True,0.0019751915935845776,63285,125,0.0
71,hg38,fantom,phyloP,phyloP100way,enhancers,256,False,0.0022345589397171524,63285,125,0.0002598806602279924
72,hg38,fantom,phastCons,phastCons4way,enhancers,512,True,0.07883384688314767,63285,4989,0.0
73,hg38,fantom,phastCons,phastCons4way,enhancers,512,False,0.1666693516927392,63285,4989,0.09535250998138808
74,hg38,fantom,phastCons,phastCons7way,enhancers,512,True,0.0047246582918543095,63285,299,0.0
75,hg38,fantom,phastCons,phastCons7way,enhancers,512,False,0.007459434502646757,63285,299,0.0027477584304448606
76,hg38,fantom,phastCons,phastCons17way,enhancers,512,True,0.0010112980959153038,63285,64,0.0
77,hg38,fantom,phastCons,phastCons17way,enhancers,512,False,0.00182374995062021,63285,64,0.0008132743174736242
78,hg38,fantom,phastCons,phastCons20way,enhancers,512,True,0.0010112980959153038,63285,64,0.0
79,hg38,fantom,phastCons,phastCons20way,enhancers,512,False,0.0017182006498380343,63285,64,0.0007076181668274782
80,hg38,fantom,phastCons,phastCons30way,enhancers,512,True,0.0009796950304179505,63285,62,0.0
81,hg38,fantom,phastCons,phastCons30way,enhancers,512,False,0.0015490131449000554,63285,62,0.000569876419578318
82,hg38,fantom,phastCons,phastCons100way,enhancers,512,True,0.0018013747333491348,63285,114,0.0
83,hg38,fantom,phastCons,phastCons100way,enhancers,512,False,0.0023200785632456348,63285,114,0.000519639896075731
84,hg38,fantom,phyloP,phyloP4way,enhancers,512,True,0.07883384688314767,63285,4989,0.0
85,hg38,fantom,phyloP,phyloP4way,enhancers,512,False,0.1666693516927392,63285,4989,0.09535250998138808
86,hg38,fantom,phyloP,phyloP7way,enhancers,512,True,0.0047246582918543095,63285,299,0.0
87,hg38,fantom,phyloP,phyloP7way,enhancers,512,False,0.007459434502646757,63285,299,0.0027477584304448606
88,hg38,fantom,phyloP,phyloP17way,enhancers,512,True,0.0010112980959153038,63285,64,0.0
89,hg38,fantom,phyloP,phyloP17way,enhancers,512,False,0.00182374995062021,63285,64,0.0008132743174736242
90,hg38,fantom,phyloP,phyloP20way,enhancers,512,True,0.0010112980959153038,63285,64,0.0
91,hg38,fantom,phyloP,phyloP20way,enhancers,512,False,0.0017182006498380343,63285,64,0.0007076181668274782
92,hg38,fantom,phyloP,phyloP30way,enhancers,512,True,0.0009796950304179505,63285,62,0.0
93,hg38,fantom,phyloP,phyloP30way,enhancers,512,False,0.0015490131449000554,63285,62,0.000569876419578318
94,hg38,fantom,phyloP,phyloP100way,enhancers,512,True,0.0018013747333491348,63285,114,0.0
95,hg38,fantom,phyloP,phyloP100way,enhancers,512,False,0.0023200785632456348,63285,114,0.000519639896075731
96,hg38,fantom,phastCons,phastCons4way,enhancers,1024,True,0.054689104843169786,63285,3461,0.0
97,hg38,fantom,phastCons,phastCons4way,enhancers,1024,False,0.18323083940704749,63285,3461,0.1359782641059608
98,hg38,fantom,phastCons,phastCons7way,enhancers,1024,True,0.0038081693924310656,63285,241,0.0
99,hg38,fantom,phastCons,phastCons7way,enhancers,1024,False,0.008217969799320534,63285,241,0.004426657869900387
100,hg38,fantom,phastCons,phastCons17way,enhancers,1024,True,0.0009006873666745674,63285,57,0.0
101,hg38,fantom,phastCons,phastCons17way,enhancers,1024,False,0.002131787252113455,63285,57,0.001232209721167837
102,hg38,fantom,phastCons,phastCons20way,enhancers,1024,True,0.0008848858339258908,63285,56,0.0
103,hg38,fantom,phastCons,phastCons20way,enhancers,1024,False,0.0020308210130757683,63285,56,0.0011469500990447421
104,hg38,fantom,phastCons,phastCons30way,enhancers,1024,True,0.0009322904321719207,63285,59,0.0
105,hg38,fantom,phastCons,phastCons30way,enhancers,1024,False,0.001821574153630402,63285,59,0.0008901135658194413
106,hg38,fantom,phastCons,phastCons100way,enhancers,1024,True,0.001627557873113692,63285,103,0.0
107,hg38,fantom,phastCons,phastCons100way,enhancers,1024,False,0.0025777793414711227,63285,103,0.0009517705299768921
108,hg38,fantom,phyloP,phyloP4way,enhancers,1024,True,0.054689104843169786,63285,3461,0.0
109,hg38,fantom,phyloP,phyloP4way,enhancers,1024,False,0.18323083940704749,63285,3461,0.1359782641059608
110,hg38,fantom,phyloP,phyloP7way,enhancers,1024,True,0.0038081693924310656,63285,241,0.0
111,hg38,fantom,phyloP,phyloP7way,enhancers,1024,False,0.008217969799320534,63285,241,0.004426657869900387
112,hg38,fantom,phyloP,phyloP17way,enhancers,1024,True,0.0009006873666745674,63285,57,0.0
113,hg38,fantom,phyloP,phyloP17way,enhancers,1024,False,0.002131787252113455,63285,57,0.001232209721167837
114,hg38,fantom,phyloP,phyloP20way,enhancers,1024,True,0.0008848858339258908,63285,56,0.0
